county_code,County,OFC_Code,CFR,Clinton,Sanders
1,Alcona,1000000,0-1041,463,455
2,Alger,1000000,0-1041,384,622
3,Allegan,1000000,0-1041,3489,5545
4,Alpena,1000000,0-1041,1102,1347
5,Antrim,1000000,0-1041,867,1491
6,Arenac,1000000,0-1041,595,663
7,Baraga,1000000,0-1041,270,371
8,Barry,1000000,0-1041,1736,3078
9,Bay,1000000,0-1041,5937,6363
10,Benzie,1000000,0-1041,853,1650
11,Berrien,1000000,0-1041,6646,5952
12,Branch,1000000,0-1041,1010,1246
13,Calhoun,1000000,0-1041,5230,5810
14,Cass,1000000,0-1041,1657,1683
15,Charlevoix,1000000,0-1041,1044,1730
16,Cheboygan,1000000,0-1041,1010,1318
17,Chippewa,1000000,0-1041,1230,1789
18,Clare,1000000,0-1041,1090,1239
19,Clinton,1000000,0-1041,3409,4524
20,Crawford,1000000,0-1041,494,631
21,Delta,1000000,0-1041,1409,1705
22,Dickinson,1000000,0-1041,908,1075
23,Eaton,1000000,0-1041,5560,7007
24,Emmet,1000000,0-1041,1369,2589
25,Genesee,1000000,0-1041,31284,28117
26,Gladwin,1000000,0-1041,985,1083
27,Gogebic,1000000,0-1041,678,790
28,Grand Traverse,1000000,0-1041,4140,8091
29,Gratiot,1000000,0-1041,1185,1812
30,Hillsdale,1000000,0-1041,977,1380
31,Houghton,1000000,0-1041,1109,2039
32,Huron,1000000,0-1041,1050,1184
33,Ingham,1000000,0-1041,17824,22503
34,Ionia,1000000,0-1041,1491,2812
35,Iosco,1000000,0-1041,1077,1202
36,Iron,1000000,0-1041,527,546
37,Isabella,1000000,0-1041,2032,4024
38,Jackson,1000000,0-1041,5288,6804
39,Kalamazoo,1000000,0-1041,12593,20146
40,Kalkaska,1000000,0-1041,590,987
41,Kent,1000000,0-1041,25899,43375
42,Keweenaw,1000000,0-1041,128,188
43,Lake,1000000,0-1041,548,514
44,Lapeer,1000000,0-1041,3319,4650
45,Leelanau,1000000,0-1041,1459,2222
46,Lenawee,1000000,0-1041,3455,4256
47,Livingston,1000000,0-1041,6705,10435
48,Luce,1000000,0-1041,167,291
49,Mackinac,1000000,0-1041,500,633
50,Macomb,1000000,0-1041,47597,46242
51,Manistee,1000000,0-1041,1120,1646
52,Marquette,1000000,0-1041,3188,5530
53,Mason,1000000,0-1041,1223,1741
54,Mecosta,1000000,0-1041,1173,1767
55,Menominee,1000000,0-1041,835,805
56,Midland,1000000,0-1041,3097,4568
57,Missaukee,1000000,0-1041,399,591
58,Monroe,1000000,0-1041,6716,6842
59,Montcalm,1000000,0-1041,1344,2119
60,Montmorency,1000000,0-1041,392,383
61,Muskegon,1000000,0-1041,8220,10062
62,Newaygo,1000000,0-1041,1290,2139
63,Oakland,1000000,0-1041,92296,84158
64,Oceana,1000000,0-1041,791,1237
65,Ogemaw,1000000,0-1041,862,926
66,Ontonagon,1000000,0-1041,327,362
67,Osceola,1000000,0-1041,670,953
68,Oscoda,1000000,0-1041,273,315
69,Otsego,1000000,0-1041,786,1228
70,Ottawa,1000000,0-1041,7472,13960
71,Presque Isle,1000000,0-1041,592,606
72,Roscommon,1000000,0-1041,1163,1187
73,Saginaw,1000000,0-1041,12348,9619
76,Sanilac,1000000,0-1041,1160,1485
77,Schoolcraft,1000000,0-1041,312,345
78,Shiawassee,1000000,0-1041,3031,4452
74,St. Clair,1000000,0-1041,3665,5165
75,St. Joseph,1000000,0-1041,1382,2219
79,Tuscola,1000000,0-1041,1984,2532
80,Van Buren,1000000,0-1041,2484,3656
81,Washtenaw,1000000,0-1041,30022,38063
82,Wayne,1000000,0-1041,163617,104900
83,Wexford,1000000,0-1041,909,1793
