county_code,County,OFC_Code,CFR,Cruz,Kasich,Rubio,Trump,Total
1,Alcona,1000000,0-1030,460,340,138,1111,2049
2,Alger,1000000,0-1030,318,281,99,517,1215
3,Allegan,1000000,0-1030,7530,4636,1981,5327,19474
4,Alpena,1000000,0-1030,1125,785,318,1885,4113
5,Antrim,1000000,0-1030,1201,1025,424,1969,4619
6,Arenac,1000000,0-1030,472,328,178,1141,2119
7,Baraga,1000000,0-1030,239,197,96,468,1000
8,Barry,1000000,0-1030,3449,2191,875,3478,9993
9,Bay,1000000,0-1030,3631,2304,1248,5738,12921
10,Benzie,1000000,0-1030,782,674,264,1278,2998
11,Berrien,1000000,0-1030,6603,4219,2359,7817,20998
12,Branch,1000000,0-1030,1535,1244,482,2455,5716
13,Calhoun,1000000,0-1030,4446,3321,1430,5800,14997
14,Cass,1000000,0-1030,2470,1048,566,2859,6943
15,Charlevoix,1000000,0-1030,1182,1208,455,1886,4731
16,Cheboygan,1000000,0-1030,1082,815,354,2089,4340
17,Chippewa,1000000,0-1030,1320,904,427,1959,4610
18,Clare,1000000,0-1030,1060,636,334,1996,4026
19,Clinton,1000000,0-1030,3619,3357,1290,3777,12043
20,Crawford,1000000,0-1030,470,370,189,1108,2137
21,Delta,1000000,0-1030,1402,874,434,1954,4664
22,Dickinson,1000000,0-1030,1226,876,352,1708,4162
23,Eaton,1000000,0-1030,4496,3415,1636,5386,14933
24,Emmet,1000000,0-1030,1564,1557,677,2244,6042
25,Genesee,1000000,0-1030,9824,7730,3630,16756,37940
26,Gladwin,1000000,0-1030,927,665,304,1774,3670
27,Gogebic,1000000,0-1030,399,325,173,753,1650
28,Grand Traverse,1000000,0-1030,4557,3925,1890,5891,16263
29,Gratiot,1000000,0-1030,1619,819,383,1799,4620
30,Hillsdale,1000000,0-1030,2095,1321,547,3060,7023
31,Houghton,1000000,0-1030,1497,926,439,1375,4237
32,Huron,1000000,0-1030,1250,1056,515,2346,5167
33,Ingham,1000000,0-1030,6968,7649,3024,7979,25620
34,Ionia,1000000,0-1030,2630,1783,685,2676,7774
35,Iosco,1000000,0-1030,676,608,326,1973,3583
36,Iron,1000000,0-1030,462,333,103,868,1766
37,Isabella,1000000,0-1030,1685,1330,704,2180,5899
38,Jackson,1000000,0-1030,5199,4380,1929,8113,19621
39,Kalamazoo,1000000,0-1030,8878,9104,3795,8655,30432
40,Kalkaska,1000000,0-1030,790,523,265,1724,3302
41,Kent,1000000,0-1030,35185,25562,11542,22742,95031
42,Keweenaw,1000000,0-1030,105,76,50,184,415
43,Lake,1000000,0-1030,382,237,99,803,1521
44,Lapeer,1000000,0-1030,3821,3012,1160,7446,15439
45,Leelanau,1000000,0-1030,1160,1251,542,1613,4566
46,Lenawee,1000000,0-1030,3904,3713,1028,5167,13812
47,Livingston,1000000,0-1030,9324,9383,3340,15359,37406
48,Luce,1000000,0-1030,242,154,66,407,869
49,Mackinac,1000000,0-1030,439,416,172,856,1883
50,Macomb,1000000,0-1030,19988,27534,10206,60492,118220
51,Manistee,1000000,0-1030,979,756,280,1552,3567
52,Marquette,1000000,0-1030,2094,1984,691,2524,7293
53,Mason,1000000,0-1030,1546,993,458,1785,4782
54,Mecosta,1000000,0-1030,1780,943,521,2113,5357
55,Menominee,1000000,0-1030,707,421,266,1304,2698
56,Midland,1000000,0-1030,4720,3366,1506,3909,13501
57,Missaukee,1000000,0-1030,887,537,254,1221,2899
58,Monroe,1000000,0-1030,5049,5482,1413,8802,20746
59,Montcalm,1000000,0-1030,2488,1248,562,2624,6922
60,Montmorency,1000000,0-1030,403,325,155,1046,1929
61,Muskegon,1000000,0-1030,6478,3706,1875,5757,17816
62,Newaygo,1000000,0-1030,3557,1417,618,2660,8252
63,Oakland,1000000,0-1030,33634,61053,18536,69399,182622
64,Oceana,1000000,0-1030,1698,924,331,1339,4292
65,Ogemaw,1000000,0-1030,700,489,222,1612,3023
66,Ontonagon,1000000,0-1030,209,203,95,519,1026
67,Osceola,1000000,0-1030,1276,645,294,1812,4027
68,Oscoda,1000000,0-1030,369,247,90,705,1411
69,Otsego,1000000,0-1030,1040,800,342,1933,4115
70,Ottawa,1000000,0-1030,23371,13783,7030,11386,55570
71,Presque Isle,1000000,0-1030,524,423,216,916,2079
72,Roscommon,1000000,0-1030,748,726,409,2257,4140
73,Saginaw,1000000,0-1030,6536,4404,2067,9106,22113
76,Sanilac,1000000,0-1030,1588,1407,568,3279,6842
77,Schoolcraft,1000000,0-1030,217,242,78,529,1066
78,Shiawassee,1000000,0-1030,2745,1853,876,3864,9338
74,St. Clair,1000000,0-1030,4846,5093,1777,11995,23711
75,St. Joseph,1000000,0-1030,2655,1691,600,2528,7474
79,Tuscola,1000000,0-1030,2668,1268,658,3750,8344
80,Van Buren,1000000,0-1030,2579,2092,932,3287,8890
81,Washtenaw,1000000,0-1030,8574,12643,4101,10206,35524
82,Wayne,1000000,0-1030,25020,37862,11492,55587,129961
83,Wexford,1000000,0-1030,1521,1059,395,2578,5553
