County,Bush,Carson,Cruz,Kasich,Rubio,Trump,Total,Winner
Abbeville,236,308,878,158,741,1358,3679,0
Aiken,1238,2644,7142,1957,6895,9163,29039,0
Allendale,21,32,44,12,92,160,361,0
Anderson,2412,2969,8778,2047,7198,10983,34387,0
Bamberg,58,78,193,57,333,481,1200,0
Barnwell,129,171,516,91,575,1107,2589,0
Beaufort,2198,1100,4419,6263,9165,9960,33105,0
Berkeley,2664,1642,6252,1555,6178,9410,27701,0
Calhoun,250,139,564,110,421,805,2289,0
Charleston,6160,2485,9082,7318,15295,14461,54801,1
Cherokee,382,879,1979,309,1451,3617,8617,0
Chester,126,284,844,119,553,1403,3329,0
Chesterfield,181,249,1436,145,698,1824,4533,0
Clarendon,359,268,1049,245,797,1622,4340,0
Colleton,505,281,1104,223,936,2326,5375,0
Darlington,693,525,2594,328,1387,3352,8879,0
Dillon,169,112,912,65,445,972,2675,0
Dorchester,1952,1315,5216,1422,5253,6967,22125,0
Edgefield,116,328,1148,151,900,1366,4009,0
Fairfield,205,145,632,164,497,920,2563,0
Florence,1463,1273,5218,824,3369,6023,18170,0
Georgetown,960,611,1594,1024,2695,4627,11511,0
Greenville,6568,8080,23026,7719,23037,25044,93474,0
Greenwood,873,993,2425,700,2556,3047,10594,0
Hampton,83,92,365,88,314,721,1663,0
Horry,3189,2662,8579,3462,9699,26684,54275,0
Jasper,119,157,568,275,695,1169,2983,0
Kershaw,1152,617,2779,581,1906,3681,10716,0
Lancaster,563,1136,2698,1048,2766,4207,12418,0
Laurens,767,793,2750,439,1584,3327,9660,0
Lee,152,65,353,58,196,744,1568,0
Lexington,5307,4854,13190,3451,11440,16392,54634,0
Marion,215,141,741,100,436,1212,2845,0
Marlboro,164,128,410,57,254,741,1754,0
McCormick,76,106,372,180,468,616,1818,0
Newberry,621,523,1267,343,1156,2046,5956,0
Oconee,1391,1126,3165,1478,4004,4427,15591,0
Orangeburg,781,405,1310,354,1311,2553,6714,0
Pickens,2035,1715,6404,1448,4963,7149,23714,0
Richland,4493,2641,7983,4063,10992,9205,39377,1
Saluda,382,295,797,156,553,1248,3431,0
Spartanburg,2746,4041,11494,2461,10711,15293,46746,0
Sumter,1353,818,2477,532,2236,3764,11180,0
Union,269,189,885,114,752,1403,3612,0
Williamsburg,230,152,575,76,521,1187,2741,0
York,2050,3984,9210,2640,8141,12115,38140,0
